Dia,total_venda,Mês,Ano,Período
1,2660.0,5,2025,05/2025
2,3656.9,5,2025,05/2025
3,3605.0,5,2025,05/2025
5,2107.0,5,2025,05/2025
6,3028.9,5,2025,05/2025
7,5520.0,5,2025,05/2025
8,4095.0,5,2025,05/2025
9,3942.0,5,2025,05/2025
10,4031.0,5,2025,05/2025
12,2451.0,5,2025,05/2025
13,6106.0,5,2025,05/2025
14,3388.9,5,2025,05/2025
15,13266.0,5,2025,05/2025
16,7349.0,5,2025,05/2025
17,2763.0,5,2025,05/2025
19,3206.0,5,2025,05/2025
20,7997.0,5,2025,05/2025
21,7043.9,5,2025,05/2025
22,1906.0,5,2025,05/2025
1,3886.0,4,2025,04/2025
2,4517.0,4,2025,04/2025
3,2992.0,4,2025,04/2025
4,3904.8,4,2025,04/2025
5,6348.5,4,2025,04/2025
7,2279.0,4,2025,04/2025
8,2777.25,4,2025,04/2025
9,3690.0,4,2025,04/2025
10,1545.0,4,2025,04/2025
11,2815.0,4,2025,04/2025
12,4072.0,4,2025,04/2025
14,2359.0,4,2025,04/2025
15,3553.0,4,2025,04/2025
16,2386.0,4,2025,04/2025
17,5218.0,4,2025,04/2025
18,866.0,4,2025,04/2025
19,1950.0,4,2025,04/2025
21,2003.0,4,2025,04/2025
22,738.0,4,2025,04/2025
23,5792.0,4,2025,04/2025
24,1625.0,4,2025,04/2025
25,2047.0,4,2025,04/2025
26,2629.0,4,2025,04/2025
28,4624.0,4,2025,04/2025
29,4266.0,4,2025,04/2025
30,6213.0,4,2025,04/2025
1,2442.0,3,2025,03/2025
3,1297.0,3,2025,03/2025
5,8570.0,3,2025,03/2025
6,5082.0,3,2025,03/2025
7,6874.0,3,2025,03/2025
8,2343.8,3,2025,03/2025
10,2616.0,3,2025,03/2025
11,10614.9,3,2025,03/2025
12,3169.0,3,2025,03/2025
13,2605.9,3,2025,03/2025
14,2264.0,3,2025,03/2025
15,6083.0,3,2025,03/2025
17,3739.8,3,2025,03/2025
18,2107.0,3,2025,03/2025
19,1522.0,3,2025,03/2025
20,2353.0,3,2025,03/2025
21,3565.0,3,2025,03/2025
22,6089.0,3,2025,03/2025
24,1635.0,3,2025,03/2025
25,8126.0,3,2025,03/2025
26,4775.0,3,2025,03/2025
27,2247.0,3,2025,03/2025
28,3287.0,3,2025,03/2025
29,4259.0,3,2025,03/2025
31,3129.0,3,2025,03/2025
1,4399.9,2,2025,02/2025
3,3186.0,2,2025,02/2025
4,1165.7,2,2025,02/2025
5,2267.0,2,2025,02/2025
6,2882.0,2,2025,02/2025
7,2159.0,2,2025,02/2025
8,5925.0,2,2025,02/2025
10,3237.0,2,2025,02/2025
11,3007.0,2,2025,02/2025
12,3712.0,2,2025,02/2025
13,9086.0,2,2025,02/2025
14,4088.0,2,2025,02/2025
15,2327.0,2,2025,02/2025
17,3941.9,2,2025,02/2025
18,3173.0,2,2025,02/2025
19,3337.0,2,2025,02/2025
20,4343.0,2,2025,02/2025
21,2746.0,2,2025,02/2025
22,2537.0,2,2025,02/2025
24,2551.0,2,2025,02/2025
25,3946.5,2,2025,02/2025
26,2172.0,2,2025,02/2025
27,4327.0,2,2025,02/2025
28,6414.0,2,2025,02/2025
