trimestre,trimestre_obj,total_customers,returning_customers,new_customers,recurrence_rate
2019Q4,2019Q4,335,3,332,8.108108108108109
2020Q1,2020Q1,252,17,235,5.074626865671641
2020Q2,2020Q2,262,4,258,1.5873015873015872
2020Q3,2020Q3,305,6,299,2.2900763358778624
2020Q4,2020Q4,256,19,237,6.229508196721312
2021Q1,2021Q1,206,8,198,3.125
2021Q2,2021Q2,302,15,287,7.281553398058252
2021Q3,2021Q3,288,15,273,4.966887417218543
2021Q4,2021Q4,294,23,271,7.986111111111111
2022Q1,2022Q1,307,18,289,6.122448979591836
2022Q2,2022Q2,346,23,323,7.491856677524431
2022Q3,2022Q3,347,34,313,9.826589595375722
2022Q4,2022Q4,275,19,256,5.475504322766571
2023Q1,2023Q1,282,14,268,5.090909090909091
2023Q2,2023Q2,247,17,230,6.028368794326241
2023Q3,2023Q3,238,10,228,4.048582995951417
2023Q4,2023Q4,227,9,218,3.7815126050420167
2024Q1,2024Q1,212,12,200,5.286343612334802
2024Q2,2024Q2,210,19,191,8.962264150943396
2024Q3,2024Q3,223,27,196,12.857142857142856
2024Q4,2024Q4,238,19,219,8.520179372197308
2025Q1,2025Q1,229,25,204,10.504201680672269
2025Q2,2025Q2,152,15,137,6.550218340611353
