cohort_year,period_index,num_customers,cohort_size,retention_rate
2019,0,369,369,1.0
2019,1,29,369,0.07859078590785908
2019,2,13,369,0.03523035230352303
2019,3,14,369,0.037940379403794036
2019,4,10,369,0.02710027100271003
2019,5,5,369,0.013550135501355014
2019,6,2,369,0.005420054200542005
2020,0,999,999,1.0
2020,1,56,999,0.056056056056056056
2020,2,46,999,0.04604604604604605
2020,3,22,999,0.022022022022022022
2020,4,15,999,0.015015015015015015
2020,5,10,999,0.01001001001001001
2021,0,944,944,1.0
2021,1,114,944,0.12076271186440678
2021,2,43,944,0.045550847457627115
2021,3,38,944,0.04025423728813559
2021,4,13,944,0.013771186440677966
2022,0,997,997,1.0
2022,1,73,997,0.0732196589769308
2022,2,50,997,0.05015045135406219
2022,3,14,997,0.014042126379137413
2023,0,789,789,1.0
2023,1,56,789,0.07097591888466413
2023,2,24,789,0.030418250950570342
2024,0,639,639,1.0
2024,1,37,639,0.057902973395931145
2025,0,266,266,1.0
